# v(mm/s) counts error
-11.7257 8651546 2941
-11.6794 8646407 2941
-11.6331 8653617 2941
-11.5867 8649125 2941
-11.5404 8640353 2941
-11.4941 8652391 2941
-11.4478 8652682 2941
-11.4015 8648101 2941
-11.3552 8653932 2941
-11.3088 8652606 2941
-11.2625 8651413 2941
-11.2162 8660739 2943
-11.1699 8652866 2941
-11.1236 8661098 2943
-11.0773 8650679 2941
-11.0309 8655410 2943
-10.9846 8664744 2943
-10.9383 8651081 2941
-10.892 8663737 2943
-10.8457 8661488 2943
-10.7994 8653540 2941
-10.753 8655090 2941
-10.7067 8648083 2941
-10.6604 8648279 2941
-10.6141 8650798 2941
-10.5678 8653270 2941
-10.5215 8652292 2941
-10.4751 8653673 2941
-10.4288 8662639 2943
-10.3825 8648777 2941
-10.3362 8643601 2941
-10.2899 8659797 2943
-10.2436 8648019 2941
-10.1972 8648394 2941
-10.1509 8663459 2943
-10.1046 8648224 2941
-10.0583 8647024 2941
-10.012 8647146 2941
-9.96565 8644742 2941
-9.91933 8649999 2941
-9.87302 8648874 2941
-9.8267 8642248 2941
-9.78038 8650490 2941
-9.73407 8648768 2941
-9.68775 8652962 2941
-9.64143 8651507 2941
-9.59511 8653319 2941
-9.5488 8650548 2941
-9.50248 8650134 2941
-9.45616 8650023 2941
-9.40985 8645916 2941
-9.36353 8648782 2941
-9.31721 8650789 2941
-9.2709 8662995 2943
-9.22458 8643718 2941
-9.17826 8651205 2941
-9.13194 8647745 2941
-9.08563 8650385 2941
-9.03931 8650445 2941
-8.99299 8645636 2941
-8.94668 8650322 2941
-8.90036 8652215 2941
-8.85404 8655190 2941
-8.80773 8665121 2943
-8.76141 8646356 2941
-8.71509 8662441 2943
-8.66878 8664816 2943
-8.62246 8653212 2941
-8.57614 8645629 2941
-8.52982 8650372 2941
-8.48351 8654094 2941
-8.43719 8657734 2943
-8.39087 8658013 2943
-8.34456 8662143 2943
-8.29824 8649642 2941
-8.25192 8654907 2941
-8.20561 8654163 2941
-8.15929 8643217 2941
-8.11297 8659800 2943
-8.06666 8657998 2943
-8.02034 8651445 2941
-7.97402 8661302 2943
-7.9277 8658937 2943
-7.88139 8652090 2943
-7.83507 8660031 2943
-7.78875 8660759 2943
-7.74244 8646090 2941
-7.69612 8649387 2941
-7.6498 8647794 2941
-7.60349 8650150 2941
-7.55717 8651741 2941
-7.51085 8652189 2941
-7.46454 8649191 2941
-7.41822 8659541 2943
-7.3719 8649084 2941
-7.32558 8647572 2941
-7.27927 8664620 2943
-7.23295 8648345 2941
-7.18663 8647232 2941
-7.14032 8657955 2943
-7.094 8653383 2941
-7.04768 8651847 2941
-7.00137 8659384 2943
-6.95505 8651340 2941
-6.90873 8647909 2941
-6.86242 8649856 2941
-6.8161 8650436 2941
-6.76978 8654251 2941
-6.72346 8647671 2941
-6.67715 8648186 2941
-6.63083 8648125 2941
-6.58451 8643884 2941
-6.5382 8650509 2941
-6.49188 8657200 2941
-6.44556 8649571 2941
-6.39925 8657875 2943
-6.35293 8655221 2941
-6.30661 8650749 2941
-6.2603 8652971 2941
-6.21398 8651895 2941
-6.16766 8649764 2941
-6.12134 8651262 2941
-6.07503 8651955 2941
-6.02871 8647275 2941
-5.98239 8650351 2941
-5.93608 8647075 2941
-5.88976 8662147 2943
-5.84344 8647434 2941
-5.79713 8643956 2941
-5.75081 8663131 2943
-5.70449 8647306 2941
-5.65818 8649090 2941
-5.61186 8645098 2941
-5.56554 8654103 2941
-5.51922 8650396 2941
-5.47291 8655958 2941
-5.42659 8651483 2941
-5.38027 8647738 2941
-5.33396 8650275 2941
-5.28764 8662567 2943
-5.24132 8659031 2943
-5.19501 8658522 2943
-5.14869 8646061 2941
-5.10237 8656687 2943
-5.05606 8660152 2943
